case	round	attempt	stratum	baseline_wall_s	candidate_wall_s	wall_log_ratio	baseline_rss_kb	candidate_rss_kb	rss_difference_kb	baseline_raw	candidate_raw
indented_direct_10k	1	1	BC	31.60	31.46	-0.004440222963	10008	10276	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o04_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r01_a1_o04_indented_direct_10k_candidate.raw
indented_direct_10k	2	1	CB	18.83	22.00	0.155591110689	10264	10404	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o05_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r02_a1_o05_indented_direct_10k_candidate.raw
indented_direct_10k	3	1	BC	20.63	21.39	0.036177196011	10264	10276	12	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o04_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r03_a1_o04_indented_direct_10k_candidate.raw
indented_direct_10k	4	1	CB	21.04	22.06	0.047340625956	10008	10276	268	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o05_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r04_a1_o05_indented_direct_10k_candidate.raw
indented_direct_10k	5	1	BC	26.39	23.85	-0.101200933181	9932	10148	216	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o04_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r05_a1_o04_indented_direct_10k_candidate.raw
indented_direct_10k	6	1	CB	22.62	22.53	-0.003986716244	10172	10276	104	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o05_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r06_a1_o05_indented_direct_10k_candidate.raw
indented_direct_10k	7	1	BC	21.30	26.45	0.216549085589	9876	10276	400	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o04_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r07_a1_o04_indented_direct_10k_candidate.raw
indented_direct_10k	8	1	CB	27.56	30.40	0.098077162267	10264	10404	140	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o05_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r08_a1_o05_indented_direct_10k_candidate.raw
indented_direct_10k	9	1	BC	20.53	21.29	0.036350247875	10008	10532	524	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o04_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r09_a1_o04_indented_direct_10k_candidate.raw
indented_direct_10k	10	3	CB	26.50	27.85	0.049688233381	10008	10404	396	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o05_indented_direct_10k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r10_a3_o05_indented_direct_10k_candidate.raw
