round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
17	BC	indented_ast	1000	50	0:11.97	10404	0:09.29	10412	0	0	10	10	2026-08-30T16:49:15+09:00	2026-08-30T16:49:27+09:00
17	BC	indented_ast	10000	8	0:14.22	35700	0:13.72	35708	0	0	10	10	2026-08-30T16:49:42+09:00	2026-08-30T16:49:56+09:00
17	BC	braced_ast	1000	50	0:08.42	10528	0:07.98	10412	0	0	10	10	2026-08-30T16:50:15+09:00	2026-08-30T16:50:23+09:00
17	BC	braced_ast	10000	8	0:12.73	35680	0:13.15	35692	0	0	10	10	2026-08-30T16:50:36+09:00	2026-08-30T16:50:49+09:00
17	BC	indented_direct	1000	50	0:09.42	8448	0:09.48	8576	0	0	10	10	2026-08-30T16:51:07+09:00	2026-08-30T16:51:17+09:00
17	BC	indented_direct	10000	8	0:17.56	10040	0:15.47	10428	0	0	10	10	2026-08-30T16:51:31+09:00	2026-08-30T16:51:49+09:00
17	BC	braced_direct	1000	50	0:08.93	8192	0:09.03	8448	0	0	10	10	2026-08-30T16:52:09+09:00	2026-08-30T16:52:18+09:00
17	BC	braced_direct	10000	8	0:15.89	10404	0:14.83	10156	0	0	10	10	2026-08-30T16:52:32+09:00	2026-08-30T16:52:48+09:00
18	CB	braced_direct	10000	8	0:16.38	10276	0:15.60	10284	0	0	10	10	2026-08-30T16:53:24+09:00	2026-08-30T16:53:08+09:00
18	CB	braced_direct	1000	50	0:09.98	8448	0:12.30	8576	0	0	10	10	2026-08-30T16:53:58+09:00	2026-08-30T16:53:45+09:00
18	CB	indented_direct	10000	8	0:17.65	10040	0:16.36	10300	0	0	10	10	2026-08-30T16:54:29+09:00	2026-08-30T16:54:13+09:00
18	CB	indented_direct	1000	50	0:12.16	8320	0:11.46	8704	0	0	10	10	2026-08-30T16:55:03+09:00	2026-08-30T16:54:52+09:00
18	CB	braced_ast	10000	8	0:15.47	35552	0:13.59	35708	0	0	10	10	2026-08-30T16:55:34+09:00	2026-08-30T16:55:21+09:00
18	CB	braced_ast	1000	50	0:08.36	10528	0:11.03	10412	0	0	10	10	2026-08-30T16:56:06+09:00	2026-08-30T16:55:55+09:00
18	CB	indented_ast	10000	8	0:15.53	35700	0:16.26	35576	0	0	10	10	2026-08-30T16:56:36+09:00	2026-08-30T16:56:19+09:00
18	CB	indented_ast	1000	50	0:09.89	10404	0:10.21	10668	0	0	10	10	2026-08-30T16:57:06+09:00	2026-08-30T16:56:56+09:00
19	BC	indented_ast	1000	50	0:09.95	10404	0:11.31	10412	0	0	10	10	2026-08-30T16:57:21+09:00	2026-08-30T16:57:31+09:00
19	BC	indented_ast	10000	8	0:15.70	35572	0:15.55	35708	0	0	10	10	2026-08-30T16:57:48+09:00	2026-08-30T16:58:04+09:00
19	BC	braced_ast	1000	50	0:09.32	10528	0:09.64	10540	0	0	10	10	2026-08-30T16:58:24+09:00	2026-08-30T16:58:34+09:00
